id,original_label,anzahl_anfragen,repräsentant,intra_kohärenz,anfragenlänge_avg,anfragenlänge_std,anfragen
1,51,6,""";;$x0;$x1; ;;$x0;$x1; ;;$x2;; ;;;$x3; ;;$x2;$x3; ;;4;;""",0.8654191304242249,5.833333333333333,0.372677996249965,"[';;$x0;$x1; ;;$x0;$x1; ;;;$x1; ;;$x0;; ;;4;;', ';;$x0;; ;;;$x1; ;;$x2;$x1; ;;$x2;$x1; ;;$x0;; ;;4;;', ';;$x0;; ;;$x1;$x2; ;;$x0;$x3; ;;$x1;$x3; ;;;$x2; ;;4;;', ';;$x0;; ;;$x1;; ;;$x0;$x2; ;;$x1;$x2; ;;;$x2; ;;4;;', ';;$x0;$x1; ;;$x0;$x1; ;;;$x2; ;;$x3;$x2; ;;$x3;; ;;4;;', ';;$x0;$x1; ;;$x0;$x1; ;;$x2;; ;;;$x3; ;;$x2;$x3; ;;4;;']"
2,15,16,""";;;$x0; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x0;""",0.2390165396996841,7.0,0.0,"[';;;$x0; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x0;', ';;;$x0; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x2;', ';;;$x0; ;;;$x1; ;;;$x2; ;;;$x1; ;;;$x2; ;;;$x1; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x0; ;;;$x1; ;;;$x1; ;;;$x1; ;;;$x1;', ';;;$x0; ;;;$x0; ;;;$x0; ;;;$x1; ;;;$x1; ;;;$x1; ;;;$x0;', ';;;$x0; ;;;$x1; ;;;$x2; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x1;', ';;;$x0; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x2; ;;;$x1; ;;;$x1; ;;;$x2;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x1; ;;;$x2; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x1; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x1; ;;;$x1; ;;;$x0;']"
3,26,6,""";;$x0;$x1; ;;$x0;$x1; ;;$x2;$x3; ;;;$x3; ;;$x2;$x3;""",0.24230193758224908,5.0,0.0,"[';;$x0;$x1; ;;$x0;$x1; ;;$x2;$x3; ;;;$x3; ;;$x2;$x3;', ';;$x0;$x1; ;;$x0;$x1; ;;;$x1; ;;$x2;$x3; ;;$x2;$x3;', ';;$x0;$x1; ;;$x2;$x1; ;;$x0;$x3; ;;$x2;$x3; ;;;$x1;', ';;;$x0; ;;$x1;$x0; ;;$x1;$x0; ;;$x2;$x3; ;;$x2;$x3;', ';;$x0;$x1; ;;$x0;$x1; ;;$x2;$x3; ;;$x2;$x3; ;;;$x3;', ';;$x0;$x1; ;;$x0;$x1; ;;;$x2; ;;$x3;$x2; ;;$x3;$x2;']"
4,10,32,""";;$x0;$x1; ;;;$x1; ;;$x0;$x2; ;;;$x3; ;;;$x3; ;;;$x2;""",0.36776333597434185,6.03125,0.17399263633843817,"[';;;$x0; ;;;$x1; ;;$x2;$x3; ;;;$x1; ;;$x2;$x3; ;;;$x0;', ';;;$x0; ;;$x1;$x0; ;;;$x2; ;;$x1;$x2; ;;;$x0; ;;;$x0;', ';;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x3; ;;;$x0; ;;;$x3;', ';;;$x0; ;;$x1;$x0; ;;$x1;$x2; ;;;$x3; ;;;$x3; ;;;$x2;', ';;;$x0; ;;$x1;$x0; ;;;$x0; ;;$x1;$x0; ;;;$x2; ;;;$x2;', ';;;$x0; ;;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x1;', ';;;$x0; ;;$x1;$x0; ;;;$x2; ;;;$x2; ;;;$x3; ;;$x1;$x3;', ';;;$x0; ;;;$x0; ;;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x3; ;;$x1;$x3; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;$x2; ;;;$x3; ;;;$x3;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x3; ;;$x1;$x2; ;;;$x3;', ';;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;;$x1; ;;$x2;$x1;', ';;$x0;$x1; ;;;$x2; ;;$x0;$x2; ;;;$x3; ;;;$x3; ;;;$x1;', ';;$x0;$x1; ;;;$x1; ;;$x0;$x1; ;;;$x1; ;;;$x2; ;;;$x2;', ';;$x0;$x1; ;;$x0;$x1; ;;;$x2; ;;;$x3; ;;;$x3; ;;;$x2;', ';;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x0; ;;;$x3; ;;;$x3;', ';;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x2; ;;;$x0; ;;;$x0;', ';;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x2; ;;;$x0; ;;;$x2;', ';;$x0;$x1; ;;$x0;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;;$x3; ;;;$x3;', ';;;$x0; ;;;$x1; ;;$x2;$x3; ;;;$x3; ;;$x2;$x1; ;;;$x0;', ';;;$x0; ;;$x1;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x2; ;;;$x0;', ';;;$x0; ;;$x1;$x0; ;;$x1;$x2; ;;;$x2; ;;;$x3; ;;;$x3;', ';;$x0;$x1; ;;$x0;$x2; ;;;$x1; ;;;$x3; ;;;$x3; ;;;$x2;', ';;;$x0; ;;$x1;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x3; ;;;$x3;', ';;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x2; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x2;', ';;;$x0; ;;$x1;$x0; ;;;$x2; ;;$x1;$x3; ;;;$x2; ;;;$x3;', ';;;$x0; ;;$x1;$x2; ;;$x1;$x2; ;;;$x0; ;;;$x3; ;;;$x3;', ';;$x0;$x1; ;;;$x1; ;;$x0;$x2; ;;;$x3; ;;;$x3; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x3; ;;;$x3;']"
5,27,8,""";;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x1; ;;;$x0; ;;4;;""",0.31297478145692464,6.0,0.0,"[';;$x0;$x1; ;;$x0;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;4;;', ';;;$x0; ;;;$x0; ;;$x1;$x0; ;;;$x2; ;;$x1;$x2; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x1; ;;4;;', ';;;$x0; ;;;$x1; ;;;$x1; ;;$x2;$x0; ;;$x2;$x1; ;;4;;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;$x2; ;;;$x0; ;;4;;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;$x2; ;;4;;', ';;;$x0; ;;$x1;$x0; ;;;$x0; ;;$x1;$x0; ;;;$x0; ;;4;;', ';;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;$x1; ;;;$x0; ;;4;;']"
6,4,40,""";;$x0;$x1; ;;$x2;; ;;;$x3; ;;$x2;$x3; ;;$x0;$x1;""",0.2871140528737034,5.0,0.0,"[';;$x0;$x1; ;;;$x1; ;;$x0;$x2; ;;$x3;; ;;$x3;$x2;', ';;;$x0; ;;$x1;$x0; ;;$x2;$x3; ;;$x2;; ;;$x1;$x3;', ';;;$x0; ;;$x1;$x0; ;;$x2;; ;;$x1;$x3; ;;$x2;$x3;', ';;$x0;$x1; ;;$x2;$x3; ;;$x0;$x3; ;;$x2;; ;;;$x1;', ';;$x0;; ;;$x1;$x2; ;;$x0;$x2; ;;$x1;$x3; ;;;$x3;', ';;$x0;$x1; ;;$x2;$x1; ;;$x0;; ;;$x2;$x3; ;;;$x3;', ';;;$x0; ;;$x1;$x0; ;;$x1;$x2; ;;$x3;; ;;$x3;$x2;', ';;;$x0; ;;$x1;$x0; ;;$x2;$x3; ;;$x1;$x3; ;;$x2;;', ';;$x0;; ;;$x1;$x2; ;;;$x3; ;;$x1;$x3; ;;$x0;$x2;', ';;$x0;$x1; ;;$x2;$x3; ;;$x0;; ;;$x2;$x1; ;;;$x3;', ';;$x0;$x1; ;;$x2;$x1; ;;$x0;; ;;;$x3; ;;$x2;$x3;', ';;$x0;; ;;$x1;$x2; ;;;$x2; ;;$x1;$x3; ;;$x0;$x3;', ';;$x0;; ;;$x1;$x2; ;;$x1;$x2; ;;$x0;$x3; ;;;$x3;', ';;$x0;$x1; ;;$x2;$x1; ;;$x0;$x3; ;;$x2;; ;;;$x3;', ';;$x0;$x1; ;;$x2;$x3; ;;$x2;$x1; ;;;$x3; ;;$x0;;', ';;;$x0; ;;$x1;; ;;$x2;$x3; ;;$x1;$x3; ;;$x2;$x0;', ';;$x0;$x1; ;;$x2;; ;;;$x1; ;;$x0;$x3; ;;$x2;$x3;', ';;$x0;$x1; ;;$x2;; ;;;$x3; ;;$x2;$x3; ;;$x0;$x1;', ';;$x0;; ;;$x1;$x2; ;;;$x3; ;;$x0;$x3; ;;$x1;$x2;', ';;$x0;$x1; ;;$x2;$x1; ;;$x0;$x3; ;;;$x3; ;;$x2;;', ';;$x0;; ;;$x1;$x2; ;;;$x2; ;;$x0;$x3; ;;$x1;$x3;', ';;$x0;; ;;;$x1; ;;$x2;$x1; ;;$x2;$x3; ;;$x0;$x3;', ';;;$x0; ;;$x1;$x2; ;;$x3;$x2; ;;$x3;; ;;$x1;$x0;', ';;;$x0; ;;$x1;$x0; ;;$x2;; ;;$x2;$x3; ;;$x1;$x3;', ';;$x0;$x1; ;;$x2;$x3; ;;$x0;; ;;$x2;$x3; ;;;$x1;', ';;$x0;$x1; ;;;$x2; ;;$x3;$x2; ;;$x3;$x1; ;;$x0;;', ';;;$x0; ;;$x1;; ;;$x2;$x0; ;;$x1;$x3; ;;$x2;$x3;', ';;$x0;$x1; ;;;$x1; ;;$x2;$x3; ;;$x2;$x3; ;;$x0;;', ';;$x0;$x1; ;;$x2;$x3; ;;;$x3; ;;$x0;; ;;$x2;$x1;', ';;$x0;$x1; ;;$x2;$x1; ;;;$x3; ;;$x0;$x3; ;;$x2;;', ';;;$x0; ;;$x1;$x0; ;;$x1;$x2; ;;$x3;$x2; ;;$x3;;', ';;;$x0; ;;$x1;$x2; ;;$x3;; ;;$x1;$x2; ;;$x3;$x0;', ';;$x0;$x1; ;;$x2;$x1; ;;;$x1; ;;$x2;$x1; ;;$x0;;', ';;$x0;; ;;$x1;$x2; ;;$x0;$x2; ;;;$x3; ;;$x1;$x3;', ';;;$x0; ;;$x1;$x0; ;;$x2;$x3; ;;$x2;$x3; ;;$x1;;', ';;$x0;$x1; ;;;$x1; ;;$x0;$x2; ;;$x3;$x2; ;;$x3;;', ';;;$x0; ;;$x1;$x2; ;;$x3;$x0; ;;$x3;; ;;$x1;$x2;', ';;$x0;$x1; ;;;$x2; ;;$x3;$x1; ;;$x3;$x2; ;;$x0;;', ';;$x0;$x1; ;;$x2;$x3; ;;;$x3; ;;$x2;; ;;$x0;$x1;', ';;$x0;; ;;$x1;$x2; ;;;$x3; ;;$x1;$x2; ;;$x0;$x3;']"
7,49,2,""";;$x0;$x1; ;;$x2;$x1; ;;$x0;$x3; ;;$x2;$x3; ;;;$x4; ;;;$x4;""",0.16583123951778028,6.0,0.0,"[';;$x0;$x1; ;;$x2;$x1; ;;$x0;$x3; ;;$x2;$x3; ;;;$x4; ;;;$x4;', ';;;$x0; ;;$x1;$x2; ;;$x3;$x2; ;;$x1;$x4; ;;$x3;$x4; ;;;$x0;']"
8,0,32,""";;;$x0; ;;$x1;$x0; ;;$x1;; ;;;$x2; ;;;$x2; ;;;$x0;""",0.28033922040456993,6.0,0.0,"[';;;$x0; ;;;$x1; ;;$x2;$x1; ;;;$x1; ;;$x2;; ;;;$x0;', ';;;$x0; ;;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;; ;;;$x2;', ';;;$x0; ;;$x1;; ;;$x1;$x0; ;;;$x0; ;;;$x2; ;;;$x2;', ';;$x0;$x1; ;;;$x2; ;;;$x1; ;;;$x1; ;;;$x2; ;;$x0;;', ';;;$x0; ;;$x1;$x0; ;;;$x0; ;;$x1;; ;;;$x0; ;;;$x0;', ';;;$x0; ;;;$x0; ;;$x1;; ;;$x1;$x0; ;;;$x2; ;;;$x2;', ';;$x0;; ;;;$x1; ;;$x0;$x1; ;;;$x2; ;;;$x2; ;;;$x1;', ';;;$x0; ;;;$x0; ;;;$x0; ;;$x1;; ;;$x1;$x2; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;;$x0; ;;$x1;;', ';;;$x0; ;;$x1;$x0; ;;$x1;; ;;;$x2; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x0; ;;$x1;$x0; ;;;$x2; ;;;$x2; ;;$x1;;', ';;$x0;$x1; ;;;$x1; ;;$x0;; ;;;$x2; ;;;$x2; ;;;$x1;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x1; ;;$x2;$x1; ;;$x2;;', ';;$x0;$x1; ;;;$x2; ;;;$x2; ;;;$x2; ;;;$x1; ;;$x0;;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;; ;;;$x0; ;;;$x2;', ';;$x0;; ;;$x0;$x1; ;;;$x1; ;;;$x1; ;;;$x2; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x0; ;;$x1;; ;;;$x2; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;; ;;;$x2; ;;;$x0;', ';;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x0; ;;;$x0;', ';;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x1; ;;;$x0;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;$x1;; ;;;$x2; ;;;$x2;', ';;$x0;$x1; ;;;$x2; ;;;$x1; ;;;$x2; ;;;$x2; ;;$x0;;', ';;;$x0; ;;;$x1; ;;$x2;; ;;;$x1; ;;$x2;$x1; ;;;$x0;', ';;$x0;; ;;;$x1; ;;$x0;$x1; ;;;$x2; ;;;$x2; ;;;$x2;', ';;;$x0; ;;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;; ;;;$x2;', ';;$x0;$x1; ;;;$x1; ;;$x0;; ;;;$x2; ;;;$x2; ;;;$x2;', ';;$x0;; ;;;$x1; ;;;$x1; ;;$x0;$x2; ;;;$x2; ;;;$x2;', ';;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x0; ;;;$x1;', ';;;$x0; ;;$x1;$x2; ;;;$x2; ;;;$x2; ;;;$x0; ;;$x1;;', ';;$x0;; ;;;$x1; ;;;$x1; ;;$x0;$x2; ;;;$x2; ;;;$x1;', ';;;$x0; ;;$x1;$x2; ;;$x1;; ;;;$x2; ;;;$x0; ;;;$x0;', ';;;$x0; ;;$x1;$x0; ;;$x1;; ;;;$x2; ;;;$x2; ;;;$x2;']"
9,28,14,""";;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x0; ;;4;;""",0.3049828093263615,7.0,0.0,"[';;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x0; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x1; ;;4;;', ';;;$x0; ;;;$x0; ;;$x1;; ;;;$x2; ;;$x1;$x2; ;;;$x0; ;;4;;', ';;;$x0; ;;;$x1; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;;$x0; ;;4;;', ';;;$x0; ;;$x1;$x2; ;;;$x2; ;;$x1;; ;;;$x2; ;;;$x0; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;;$x1; ;;$x2;; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x0; ;;$x1;; ;;;$x2; ;;$x1;$x2; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x1; ;;;$x1; ;;$x2;; ;;$x2;$x1; ;;4;;', ';;;$x0; ;;$x1;$x0; ;;;$x2; ;;$x1;; ;;;$x2; ;;;$x0; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x0; ;;;$x1; ;;$x2;; ;;$x2;$x1; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x0; ;;;$x1; ;;$x2;$x1; ;;$x2;; ;;4;;', ';;$x0;; ;;;$x1; ;;$x0;$x1; ;;;$x1; ;;;$x2; ;;;$x2; ;;4;;', ';;;$x0; ;;$x1;$x0; ;;;$x0; ;;$x1;; ;;;$x2; ;;;$x2; ;;4;;', ';;;$x0; ;;$x1;; ;;;$x2; ;;$x1;$x2; ;;;$x2; ;;;$x0; ;;4;;']"
10,16,13,""";;$x0;; ;;;$x1; ;;;$x1; ;;$x0;$x2; ;;;$x2; ;;4;;""",0.4328938475796644,5.923076923076923,0.2664693550105965,"[';;;$x0; ;;;$x1; ;;$x2;$x0; ;;$x2;; ;;;$x1; ;;4;;', ';;$x0;; ;;;$x1; ;;;$x2; ;;;$x2; ;;$x0;$x1; ;;4;;', ';;;$x0; ;;;$x0; ;;;$x0; ;;$x1;; ;;$x1;$x0; ;;4;;', ';;$x0;$x1; ;;;$x2; ;;$x0;; ;;;$x1; ;;;$x2; ;;4;;', ';;$x0;; ;;;$x1; ;;;$x1; ;;$x0;$x2; ;;;$x2; ;;4;;', ';;;$x0; ;;$x1;; ;;$x1;$x2; ;;;$x0; ;;;$x2; ;;4;;', ';;;$x0; ;;;$x1; ;;$x2;$x0; ;;;$x1; ;;$x2;; ;;4;;', ';;;$x0; ;;;$x0; ;;$x1;; ;;$x1;$x2; ;;;$x2; ;;4;;', ';;;$x0; ;;;$x0; ;;$x1;; ;;;$x0; ;;$x1;$x0; ;;4;;', ';;$x0;; ;;;$x1; ;;;$x1; ;;$x0;$x1; ;;4;;', ';;$x0;; ;;;$x1; ;;$x0;$x1; ;;;$x1; ;;;$x1; ;;4;;', ';;;$x0; ;;;$x1; ;;$x2;; ;;$x2;$x0; ;;;$x1; ;;4;;', ';;;$x0; ;;$x1;$x2; ;;$x1;; ;;;$x0; ;;;$x2; ;;4;;']"
